SampleID	Farm	Farm1	Lenticel_disease_status
DNA1N11	Sinai_Severo	Sinai	Necrotic
DNA2N11	Sinai_Severo	Sinai	Necrotic
DNA3N11	Sinai_Severo	Sinai	Necrotic
DNA4N11	Sinai_Severo	Sinai	Necrotic
DNA5N11	Sinai_Severo	Sinai	Necrotic
DNA6N11	Sinai_Severo	Sinai	Necrotic
NA1S11	Sinai_Leve	Sinai	Healthy
NA2S11	Sinai_Leve	Sinai	Healthy
NA3S11	Sinai_Leve	Sinai	Healthy
NA4S11	Sinai_Leve	Sinai	Healthy
NA5S11	Sinai_Leve	Sinai	Healthy
NA6S11	Sinai_Leve	Sinai	Healthy
N1	Escondida_Severo	Escondida	Necrotic
N2	Escondida_Severo	Escondida	Necrotic
N3	Escondida_Severo	Escondida	Necrotic
N4	Escondida_Severo	Escondida	Necrotic
N5	Escondida_Severo	Escondida	Necrotic
N6	Escondida_Severo	Escondida	Necrotic
S1	Escondida_Leve	Escondida	Healthy
S2	Escondida_Leve	Escondida	Healthy
S3	Escondida_Leve	Escondida	Healthy
S4	Escondida_Leve	Escondida	Healthy
S5	Escondida_Leve	Escondida	Healthy
S6	Escondida_Leve	Escondida	Healthy
